,log2FoldChange
FBgn0031468,5.501073388213531
FBgn0035557,4.394778585983802
FBgn0002789,4.26343834816945
FBgn0265186,3.538866328856378
FBgn0261555,3.4956597610735165
FBgn0039818,3.3729972511604815
FBgn0038494,3.323895393258075
FBgn0031854,3.3007176001934155
FBgn0085465,3.220374569828846
FBgn0038612,3.0776145722563975
FBgn0000092,3.0248380803822115
FBgn0053288,2.9776500734161173
FBgn0032780,2.8319809500661397
FBgn0034911,2.825376517261274
FBgn0262476,2.80336150628214
FBgn0024294,2.774656722577829
FBgn0040510,2.773555987960068
FBgn0036128,2.761158348066303
FBgn0264793,2.750726516589532
FBgn0085387,2.7141543244349897
FBgn0260768,2.658799241585844
FBgn0085424,2.6113487958313546
FBgn0085362,2.6107018703955545
FBgn0052086,2.5874755127371714
FBgn0034005,2.5471639539665056
FBgn0031375,2.5329381018822885
FBgn0003117,2.4811886167105053
FBgn0037181,2.474773984028782
FBgn0053462,2.441723051526749
FBgn0001089,2.43325422900901
FBgn0025595,2.4311011090197403
FBgn0085384,2.403881497813001
FBgn0266616,2.335563022368127
FBgn0267037,2.332729218725222
FBgn0035952,2.3245299043889114
FBgn0052181,2.263461465345973
FBgn0054034,2.2471447685837314
FBgn0014073,2.2374414391949666
FBgn0036479,2.201834572674296
FBgn0036208,2.1870777798819954
FBgn0039448,2.1780684105596695
FBgn0067312,2.176155260143154
FBgn0033863,2.1322429326008865
FBgn0031526,2.122161976129892
FBgn0032522,2.1081092015916574
FBgn0045852,2.103591470374977
FBgn0032264,2.102301582086166
FBgn0033591,2.0998480240111097
FBgn0047095,2.0919525495861184
FBgn0264753,2.0859504390403867
FBgn0034541,2.0722976669698774
FBgn0085391,2.0341253631211926
FBgn0265661,2.0285850624720245
FBgn0038394,2.0188084345002593
FBgn0036895,1.9990221934309604
FBgn0032040,1.996630005593177
FBgn0036465,1.9934705416191574
FBgn0263743,1.988099957387127
FBgn0025645,1.987944197681166
FBgn0033221,1.9727630206878837
FBgn0038565,1.9669406788771346
FBgn0265180,1.9495636286387215
FBgn0001216,1.9472895253509337
FBgn0266437,1.9354003192048639
FBgn0035852,1.9331940832932566
FBgn0038631,1.915671512223235
FBgn0261386,1.9043245662970103
FBgn0032946,1.8920043684498076
FBgn0038957,1.8909453237489584
FBgn0033668,1.8889377685594517
FBgn0024184,1.8888770875677043
FBgn0051288,1.872586142843739
FBgn0028562,1.8534538122308173
FBgn0042701,1.8387640860445946
FBgn0039436,1.8367935587029136
FBgn0034253,1.812562098638578
FBgn0259185,1.8112246799750884
FBgn0030904,1.810367087774588
FBgn0267886,1.8057920834106131
FBgn0039821,1.8034970361203542
FBgn0036617,1.790584381449942
FBgn0050447,1.7894627152451765
FBgn0030707,1.7614174833112008
FBgn0045761,1.751873288127058
FBgn0014454,1.7291716185483246
FBgn0261709,1.7187094049322214
FBgn0024943,1.7070840683157467
FBgn0034731,1.6986221651475268
FBgn0040817,1.6898408054381941
FBgn0027550,1.6725960061399876
FBgn0039052,1.6721023518714297
FBgn0267430,1.6691892552074155
FBgn0038983,1.6627462003960183
FBgn0004580,1.6556259902075992
FBgn0029662,1.6518720030495022
FBgn0034459,1.6397757024653947
FBgn0039759,1.6326217054136796
FBgn0032402,1.6279632557352255
FBgn0034438,1.6145284187123619
FBgn0030691,1.6137431961618416
FBgn0023524,1.6129943729411758
FBgn0015519,1.6024388513589978
FBgn0036264,1.5940896978203487
FBgn0000037,1.57830800087699
FBgn0063496,1.5758331712293954
FBgn0026563,1.5733704449078552
FBgn0038492,1.5719826330838194
FBgn0033592,1.5536140841243622
FBgn0031646,1.5526983559411287
FBgn0023534,1.5504339587226936
FBgn0265877,1.5489963006045118
FBgn0037726,1.5394396214840793
FBgn0034725,1.5362743447137246
FBgn0039679,1.5325949196824626
FBgn0259101,1.527364445827229
FBgn0031128,1.5151287959869606
FBgn0015576,1.5115631633622728
FBgn0283427,1.4749784247320281
FBgn0038009,1.468597256162499
FBgn0042627,1.4585568122432797
FBgn0037206,1.4576685693755371
FBgn0003867,1.450271132279933
FBgn0035791,1.444691063613139
FBgn0260995,1.4356600296909778
FBgn0032798,1.430571071521014
FBgn0039525,1.4275617870180402
FBgn0034435,1.4248798725040104
FBgn0002569,1.4145642009420463
FBgn0029940,1.4110619257840602
FBgn0023001,1.410441784270743
FBgn0040354,1.4065664044529058
FBgn0004898,1.4056549418958038
FBgn0038237,1.401363135225458
FBgn0265042,1.3939674890201101
FBgn0003920,1.3915185081028507
